date,business_name,category,base_area,result,evidence
2026-08-28,The Used Car Guys - Kaiserslautern,automotive,kaiserslautern,open,"Yelp listing 'Updated August 2026' at Weilerbacher Str. 110; parent usedcarguys.net actively lists Kaiserslautern as a current location serving KMC since 2012, in-house Ramstein service center"
2026-08-28,The Used Car Guys - Grafenwöhr,automotive,grafenwoehr,open,"Parent usedcarguys.net lists Grafenwöhr as an active current location (300+ vehicles, military financing); company well-documented on LinkedIn/Yelp for sister sites, no closure signals found"
2026-08-28,Cookies with Dolly,hbb,stuttgart,unclear,"No website, Google Maps/Facebook/Instagram listing, or reviews found under this exact name in Stuttgart via web search - likely a small home-based business with minimal web footprint; not marked closed anywhere, just unfindable"
2026-08-28,Wine Kult,restaurants,stuttgart,unclear,"No website, Maps listing, or Stuttgart-specific reviews found under this name; searches surfaced only unrelated businesses (a US wine subscription club, Cafe Kult) - insufficient evidence either way"
2026-08-28,Kleintierpraxis Sindelfingen,healthcare,stuttgart,open,"Active vet practice at Wolboldstrasse 5, phone +49 7031 814361; 91 reviews on werkenntdenbesten.de and 4.0/5 on golocal, English-speaking service confirmed on own site (kleintierpraxissindelfingen.de/?lang=en)"
2026-08-31,The Used Car Guys - Ramstein,automotive,ramstein,open,"Yelp listing for Used Car Guys Service Center (Landstuhler Str. 77A, Ramstein-Miesenbach) updated May 2026; parent usedcarguys.net actively lists Ramstein as current dealership+service center location, Facebook page active, Stars & Stripes 'Best Auto Dealer 2019' history"
2026-08-31,American Business Center,automotive,kaiserslautern,open,"Own site american-business-center.com active with team/about/reviews pages; Facebook page (abcramstein) active; located Ziegelhuette 2 Ramstein, open Mon-Fri 9-17, customer testimonial references office since 2017"
2026-08-31,Mobile Tierarztpraxis Mobipet,healthcare,stuttgart,open,"5.0-star rating with recent reviews (quick response for cat UTI); active site mobipet.de and Gelbe Seiten/Das Oertliche listings, hours posted Mon-Sat 09:00-19:00"
2026-08-31,The Auld Rogue,restaurants,stuttgart,open,"Yelp listing updated May 2026 with 46 reviews, Restaurant Guru 4.6/5 with 2918 reviews, current posted hours, recent TripAdvisor reviews"
2026-08-31,Hair and There,hbb,stuttgart,unclear,"No website, Facebook/Instagram, or Stuttgart-specific listing found under this exact name via multiple web searches - likely small home-based/mobile hairdresser with minimal web footprint; not marked closed anywhere, just unfindable, same pattern as Cookies with Dolly"
